#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-07T16:50:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e8cae845526	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/ApJ/834/17&tab:{J/ApJ/834/17/table1}&key:source=J/ApJ/834/17&HTTPPRM:&&-ref=VIZ5e8cae845526&-out.max=unlimited&-out.form=ascii table&-order=I&-oc.form=sexa&-out.src=J/ApJ/834/17/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=Name&-out=Mass&-out=e_Mass&-out=x_Mass&-out=Rad&-out=e_Rad&-out=x_Rad&-out=Ref&-out=SimbadName&-out=_RA&-out=_DE&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=J/ApJ/834/17/table1
#-source=J/ApJ/834/17/table1
#-out=Name
#-out=Mass
#-out=e_Mass
#-out=x_Mass
#-out=Rad
#-out=e_Rad
#-out=x_Rad
#-out=Ref
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_18340017
#Name: J/ApJ/834/17
#Title: Mass & radius of planets, moons, low mass stars (Chen+, 2017)
#Table	J_ApJ_834_17_table1:
#Name: J/ApJ/834/17/table1
#Title: Masses and radii used for this study
#Column	Name	(a21)	Object Name	[ucd=meta.id;meta.main]
#Column	Mass	(F10.6)	[0.0003/318] Mass	[ucd=phys.mass]
#Column	e_Mass	(F7.4)	[0.0008/5]? Uncertainty in Mass	[ucd=stat.error;phys.mass]
#Column	x_Mass	(A4)	Units for Mass (Mjup or Msun)	[ucd=meta.unit;phys.mass]
#Column	Rad	(F7.4)	[0.1/12] Radius	[ucd=phys.size.radius]
#Column	e_Rad	(F7.4)	[0.001/0.4]? Uncertainty in Rad	[ucd=stat.error]
#Column	x_Rad	(A4)	Units for Radius (Rsun, Rjup or Rgeo)	[ucd=meta.unit]
#Column	Ref	(A19)	Reference (1)	[ucd=meta.ref;pos.frame]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	Mass	e_Mass	x_Mass	Rad	e_Rad	x_Rad	Ref	SimbadName	_RAdeg	_DEdeg
MOTESS-GNAT 116309 B 	  0.532000	 0.0020	Msun	 0.5320	 0.0090	Rsun	2011ApJ...728...48K	MOTESS-GNAT 116309      	072.04013	+03.29669
MOTESS-GNAT 506664 A 	  0.584000	 0.0020	Msun	 0.5600	 0.0040	Rsun	2011ApJ...728...48K	MOTESS-GNAT 506664      	115.79822	+03.27280
MOTESS-GNAT 506664 B 	  0.544000	 0.0020	Msun	 0.5130	 0.0080	Rsun	2011ApJ...728...48K	MOTESS-GNAT 506664      	115.79822	+03.27280
MOTESS-GNAT 646680 A 	  0.499000	 0.0020	Msun	 0.4570	 0.0070	Rsun	2011ApJ...728...48K	MOTESS-GNAT 646680      	157.73006	+03.57405
MOTESS-GNAT 646680 B 	  0.443000	 0.0020	Msun	 0.4270	 0.0060	Rsun	2011ApJ...728...48K	MOTESS-GNAT 646680      	157.73006	+03.57405
MOTESS-GNAT 1819499 A	  0.557000	 0.0010	Msun	 0.5690	 0.0230	Rsun	2011ApJ...728...48K	MOTESS-GNAT 1819499     	302.96385	+03.62207
MOTESS-GNAT 1819499 B	  0.535000	 0.0010	Msun	 0.5000	 0.0140	Rsun	2011ApJ...728...48K	MOTESS-GNAT 1819499     	302.96385	+03.62207
MOTESS-GNAT 2056316 A	  0.469000	 0.0020	Msun	 0.4410	 0.0030	Rsun	2011ApJ...728...48K	MOTESS-GNAT 2056316     	348.65900	+03.66370
MOTESS-GNAT 2056316 B	  0.382000	 0.0010	Msun	 0.3740	 0.0030	Rsun	2011ApJ...728...48K	MOTESS-GNAT 2056316     	348.65900	+03.66370
NSVS 11868841 A      	  0.870000	 0.0740	Msun	 0.9830	 0.0300	Rsun	2010RMxAA..46..363C	NSVS 11868841           	349.48984	+19.28413
NSVS 11868841 B      	  0.607000	 0.0530	Msun	 0.9010	 0.0260	Rsun	2010RMxAA..46..363C	NSVS 11868841           	349.48984	+19.28413
KOI-686b             	103.400000	 4.8000	Mjup	 1.2160	 0.0370	Rjup	2014A&A...572A.109D	KOI-686b                	296.84076	+43.64712
KOI-189b             	 78.000000	 3.4000	Mjup	 0.9980	 0.0230	Rjup	2014A&A...572A.109D	KOI-189b                	284.87996	+49.26699
OGLE-TR-123 B        	  0.085000	 0.0110	Msun	 0.1330	 0.0090	Rsun	2006A&A...447.1035P	OGLE-TR-123             	166.71286	-61.18624
GJ 570 A             	  0.802000	 0.0400	Msun	 0.7390	 0.0190	Rsun	2009A&A...505..205D	GJ 570 A                	224.36667	-21.41548
GJ 845               	  0.762000	 0.0380	Msun	 0.7320	 0.0060	Rsun	2009A&A...505..205D	GJ 845                  	330.84024	-56.78598
GJ 879               	  0.725000	 0.0360	Msun	 0.6290	 0.0510	Rsun	2009A&A...505..205D	GJ 879                  	344.10022	-31.56557
GJ 887               	  0.503000	 0.0250	Msun	 0.4590	 0.0110	Rsun	2009A&A...505..205D	GJ 887                  	346.46682	-35.85307
GJ 551               	  0.118000	 0.0120	Msun	 0.1410	 0.0070	Rsun	2012ApJ...757..112B	GJ 551                  	217.42895	-62.67949
SDSS0857+03 B        	  0.090000	 0.0100	Msun	 0.1100	 0.0040	Rsun	2012MNRAS.419..304P	SDSS J085746.18+034255.3	134.44244	+03.71537
NN Ser B             	  0.111000	 0.0040	Msun	 0.1490	 0.0020	Rsun	2010MNRAS.402.2591P	NN Ser                  	238.23388	+12.91241
GK Vir B             	  0.116000	 0.0030	Msun	 0.1550	 0.0030	Rsun	2012MNRAS.426.1950P	GK Vir                  	213.90171	+01.28840
OGLE-TR-106 B        	  0.116000	 0.0210	Msun	 0.1810	 0.0130	Rsun	2005A&A...438.1123P	OGLE-TR-106             	163.46312	-61.57047
HAT-TR-205-013 B     	  0.124000	 0.0100	Msun	 0.1670	 0.0060	Rsun	2007ApJ...663..573B	NAME HAT-TR-205-013     	347.03476	+33.63443
SDSS 0138-00 B       	  0.132000	 0.0030	Msun	 0.1650	 0.0010	Rsun	2012MNRAS.426.1950P	SDSS J013851.46-001621.7	024.71408	-00.27272
GJ 699               	  0.146000	 0.0150	Msun	 0.1870	 0.0010	Rsun	2012ApJ...757..112B	GJ 699                  	269.45207	+04.69339
SDSS 1210+33 B       	  0.158000	 0.0060	Msun	 0.2000	 0.0040	Rsun	2012MNRAS.419..817P	SDSS J121010.13+334722.9	182.54263	+33.79000
SDSS 1548+40 B       	  0.173000	 0.0270	Msun	 0.1810	 0.0150	Rsun	2009MNRAS.394..978P	SDSS J154846.00+405728.8	237.19183	+40.95808
RR Cae B             	  0.183000	 0.0130	Msun	 0.2090	 0.0140	Rsun	2007MNRAS.376..919M	RR Cae B                	065.27318	-48.65195
2MASS 0446+19 B      	  0.190000	 0.0200	Msun	 0.2100	 0.0100	Rsun	2006AJ....131..555H	2MASS J04463285+1901432 	071.63692	+19.02869
HATS551-019 B        	  0.170000	 0.0100	Msun	 0.1800	 0.0100	Rsun	2014MNRAS.437.2831Z	TYC 6493-290-1          	085.19237	-24.92644
Moon                 	  0.012300	 0.0000	Mgeo	 0.2720	 0.0000	Rgeo	GPMP               	                        	         	
Io                   	  0.015000	 0.0000	Mgeo	 0.2850	 0.0000	Rgeo	GPMP               	                        	         	
Europa               	  0.008040	 0.0000	Mgeo	 0.2450	 0.0000	Rgeo	GPMP               	                        	         	
Ganymede             	  0.024800	 0.0000	Mgeo	 0.4130	 0.0000	Rgeo	GPMP               	                        	         	
Callisto             	  0.018000	 0.0000	Mgeo	 0.3780	 0.0000	Rgeo	GPMP               	                        	         	
Rhea                 	  0.000386	 0.0000	Mgeo	 0.1200	 0.0000	Rgeo	GPMP               	                        	         	
Titan                	  0.022500	 0.0000	Mgeo	 0.4040	 0.0000	Rgeo	GPMP               	                        	         	
Titania              	  0.000590	 0.0000	Mgeo	 0.1240	 0.0000	Rgeo	GPMP               	                        	         	
Oberon               	  0.000505	 0.0000	Mgeo	 0.1190	 0.0000	Rgeo	GPMP               	                        	         	
Triton               	  0.003580	 0.0000	Mgeo	 0.2120	 0.0000	Rgeo	GPMP               	                        	         	
Eris                 	  0.002780	 0.0000	Mgeo	 0.1820	 0.0000	Rgeo	GPMP               	                        	         	
Mercury              	  0.055300	 0.0000	Mgeo	 0.3830	 0.0000	Rgeo	NPFS               	                        	         	
Venus                	  0.815000	 0.0000	Mgeo	 0.9490	 0.0000	Rgeo	NPFS               	                        	         	
Earth                	  1.000000	 0.0000	Mgeo	 1.0000	 0.0000	Rgeo	NPFS               	                        	         	
Mars                 	  0.107000	 0.0000	Mgeo	 0.5320	 0.0000	Rgeo	NPFS               	                        	         	
Jupiter              	317.800000	 0.0000	Mgeo	11.2100	 0.0000	Rgeo	NPFS               	                        	         	
Saturn               	 95.200000	 0.0000	Mgeo	 9.4500	 0.0000	Rgeo	NPFS               	                        	         	
Uranus               	 14.500000	 0.0000	Mgeo	 4.0100	 0.0000	Rgeo	NPFS               	                        	         	
Neptune              	 17.100000	 0.0000	Mgeo	 3.8800	 0.0000	Rgeo	NPFS               	                        	         	
Pluto                	  0.002180	 0.0000	Mgeo	 0.1860	 0.0000	Rgeo	NPFS               	                        	         	
55-Cnc e             	  0.025400	 0.0010	Mjup	 0.1713	 0.0071	Rjup	2016MNRAS.455.2018D	55 Cnc e                	133.14921	+28.33082
CoRoT-01 b           	  1.030000	 0.1000	Mjup	 1.5510	 0.0640	Rjup	2011MNRAS.417.2166S	CoRoT-01 b              	102.07988	-03.10213
CoRoT-02 b           	  3.570000	 0.1500	Mjup	 1.4600	 0.0310	Rjup	2012MNRAS.426.1291S	CoRoT-02 b              	291.77707	+01.38372
CoRoT-03 b           	 21.960000	 0.7030	Mjup	 1.0370	 0.0690	Rjup	2011MNRAS.417.2166S	CoRoT-03 b              	292.05527	+00.12184
CoRoT-06 b           	  2.960000	 0.3400	Mjup	 1.1850	 0.0410	Rjup	2011MNRAS.417.2166S	CoRoT-06 b              	281.07252	+06.66319
CoRoT-07 b           	  0.018100	 0.0027	Mjup	 0.1414	 0.0057	Rjup	2014A&A...569A..74B	CoRoT-07 b              	100.95612	-01.06303
CoRoT-08 b           	  0.216000	 0.0360	Mjup	 0.7120	 0.0830	Rjup	2011MNRAS.417.2166S	CoRoT-08 b              	291.58851	+01.42644
CoRoT-09 b           	  0.826000	 0.0830	Mjup	 1.0370	 0.0820	Rjup	2011MNRAS.417.2166S	CoRoT-09 b              	280.78671	+06.20414
CoRoT-10 b           	  2.780000	 0.1400	Mjup	 0.9410	 0.0850	Rjup	2011MNRAS.417.2166S	CoRoT-10 b              	291.06373	+00.74611
CoRoT-11 b           	  2.340000	 0.3900	Mjup	 1.4260	 0.0570	Rjup	2011MNRAS.417.2166S	CoRoT-11 b              	280.68728	+05.93769
CoRoT-12 b           	  0.887000	 0.0780	Mjup	 1.3500	 0.0750	Rjup	2011MNRAS.417.2166S	CoRoT-12 b              	100.76567	-01.29642
CoRoT-13 b           	  1.312000	 0.0960	Mjup	 1.2520	 0.0760	Rjup	2011MNRAS.417.2166S	CoRoT-13 b              	102.72113	-05.08643
CoRoT-14 b           	  7.670000	 0.4900	Mjup	 1.0180	 0.0790	Rjup	2011MNRAS.417.2166S	CoRoT-14 b              	103.42418	-05.53602
CoRoT-18 b           	  3.270000	 0.1700	Mjup	 1.2510	 0.0830	Rjup	2012MNRAS.426.1291S	CoRoT-18 b              	098.17241	-00.03160
CoRoT-20 b           	  5.060000	 0.3600	Mjup	 1.1600	 0.2600	Rjup	2012MNRAS.426.1291S	CoRoT-20 b              	097.72042	+00.22690
CoRoT-21 b           	  2.260000	 0.3300	Mjup	 1.2700	 0.1400	Rjup	2012A&A...545A...6P	CoRoT-21 b              	101.05265	-00.29918
CoRoT-26 b           	  0.520000	 0.0500	Mjup	 1.2600	 0.1300	Rjup	2013A&A...555A.118A	CoRoT-26 b              	279.75047	+06.96981
CoRoT-27 b           	 10.390000	 0.5500	Mjup	 1.0070	 0.0440	Rjup	2014A&A...562A.140P	CoRoT-27 b              	278.49585	+05.53842
CoRoT-28 b           	  0.484000	 0.0870	Mjup	 0.9550	 0.0660	Rjup	2015A&A...579A..36C	CoRoT-28 b              	278.68834	+05.57373
CoRoT-29 b           	  0.850000	 0.2000	Mjup	 0.9000	 0.1600	Rjup	2015A&A...579A..36C	CoRoT-29 b              	278.90210	+06.47965
EPIC-203771098 c     	  0.085000	 0.0220	Mjup	 0.6980	 0.0640	Rjup	2016ApJ...818...36P	NAME EPIC 203771098c    	242.57372	-24.99034
EPIC-204129699 b     	  1.774000	 0.0790	Mjup	 1.0600	 0.3500	Rjup	2016AJ....152..132G	NAME EPIC 204129699b    	245.44084	-23.54787
EPIC-204221263 b     	  0.038000	 0.0090	Mjup	 0.1380	 0.0140	Rjup	2016ApJ...827...78S	NAME EPIC 204221263 b   	240.03358	-23.18929
GJ-0436 b            	  0.079900	 0.0066	Mjup	 0.3660	 0.0140	Rjup	2014A&A...572A..73L	GJ 0436 b               	175.54622	+26.70657
GJ-1214 b            	  0.019700	 0.0027	Mjup	 0.2540	 0.0180	Rjup	2013A&A...549A..10H	GJ 1214 b               	258.82892	+04.96381
GJ-3470 b            	  0.043200	 0.0051	Mjup	 0.3460	 0.0290	Rjup	2014MNRAS.443.1810B	GJ 3470 b               	119.77434	+15.39145
HAT-P-01 b           	  0.525000	 0.0190	Mjup	 1.3190	 0.0190	Rjup	2014MNRAS.437...46N	HAT-P-01 b              	344.44518	+38.67509
HAT-P-02 b           	  8.740000	 0.2700	Mjup	 1.1900	 0.1200	Rjup	2010MNRAS.408.1689S	HAT-P-02 b              	245.15149	+41.04809
HAT-P-03 b           	  0.584000	 0.0270	Mjup	 0.9470	 0.0300	Rjup	2012MNRAS.426.1291S	HAT-P-03 b              	206.09410	+48.02866
HAT-P-05 b           	  1.060000	 0.1100	Mjup	 1.2520	 0.0430	Rjup	2012MNRAS.422.3099S	HAT-P-05 b              	274.40541	+36.62136
HAT-P-06 b           	  1.063000	 0.0570	Mjup	 1.3950	 0.0810	Rjup	2012MNRAS.426.1291S	HAT-P-06 b              	354.77419	+42.46598
HAT-P-07 b           	  1.870000	 0.0300	Mjup	 1.5260	 0.0080	Rjup	2014PASJ...66...94B	HAT-P-07 b              	292.24734	+47.96952
HAT-P-08 b           	  1.275000	 0.0530	Mjup	 1.3210	 0.0400	Rjup	2013A&A...551A..11M	HAT-P-08 b              	343.04109	+35.44711
HAT-P-09 b           	  0.778000	 0.0830	Mjup	 1.3800	 0.1000	Rjup	2012MNRAS.426.1291S	HAT-P-09 b              	110.16866	+37.14060
HAT-P-11 b           	  0.084000	 0.0068	Mjup	 0.3966	 0.0094	Rjup	2011MNRAS.417.2166S	HAT-P-11 b              	297.70937	+48.08086
HAT-P-12 b           	  0.210000	 0.0120	Mjup	 0.9360	 0.0120	Rjup	2012AJ....143...95L	HAT-P-12 b              	209.38950	+43.49353
HAT-P-13 b           	  0.906000	 0.0300	Mjup	 1.4870	 0.0410	Rjup	2012MNRAS.420.2580S	HAT-P-13 b              	129.88255	+47.35204
HAT-P-14 b           	  2.271000	 0.0830	Mjup	 1.2190	 0.0590	Rjup	2012MNRAS.426.1291S	HAT-P-14 b              	260.11614	+38.24221
HAT-P-15 b           	  1.946000	 0.0660	Mjup	 1.0720	 0.0430	Rjup	2010ApJ...724..866K	HAT-P-15 b              	066.24806	+39.46064
HAT-P-16 b           	  4.193000	 0.1280	Mjup	 1.1900	 0.0370	Rjup	2013A&A...557A..30C	HAT-P-16 b              	009.57317	+42.46312
HAT-P-17 b           	  0.534000	 0.0180	Mjup	 1.0100	 0.0290	Rjup	2012ApJ...749..134H	HAT-P-17 b              	324.53638	+30.48873
HAT-P-18 b           	  0.196000	 0.0080	Mjup	 0.9470	 0.0440	Rjup	2014A&A...564L..13E	HAT-P-18 b              	256.34646	+33.01249
HAT-P-19 b           	  0.292000	 0.0180	Mjup	 1.1320	 0.0720	Rjup	2011ApJ...726...52H	HAT-P-19 b              	009.51672	+34.71154
HAT-P-20 b           	  7.246000	 0.1870	Mjup	 0.8670	 0.0330	Rjup	2011ApJ...742..116B	HAT-P-20 b              	111.91646	+24.33652
HAT-P-21 b           	  4.063000	 0.1610	Mjup	 1.0240	 0.0920	Rjup	2011ApJ...742..116B	HAT-P-21 b              	171.27495	+41.02796
HAT-P-22 b           	  2.147000	 0.0610	Mjup	 1.0800	 0.0580	Rjup	2011ApJ...742..116B	HAT-P-22 b              	155.68162	+50.12834
HAT-P-23 b           	  2.070000	 0.1200	Mjup	 1.2240	 0.0370	Rjup	2015A&A...577A..54C	HAT-P-23 b              	306.12385	+16.76216
HAT-P-30 b           	  0.711000	 0.0280	Mjup	 1.3400	 0.0650	Rjup	2011ApJ...735...24J	HAT-P-30 b              	123.94990	+05.83678
HAT-P-32 b           	  0.860000	 0.1640	Mjup	 1.7890	 0.0250	Rjup	2011ApJ...742...59H	HAT-P-32 b              	031.04282	+46.68784
HAT-P-33 b           	  0.762000	 0.1010	Mjup	 1.6860	 0.0450	Rjup	2011ApJ...742...59H	HAT-P-33 b              	113.18424	+33.83503
HAT-P-35 b           	  1.054000	 0.0330	Mjup	 1.3320	 0.0980	Rjup	2012AJ....144...19B	HAT-P-35 b              	123.25075	+04.78705
HAT-P-36 b           	  1.852000	 0.0950	Mjup	 1.3040	 0.0250	Rjup	2015A&A...579A.136M	HAT-P-36 b              	188.26629	+44.91533
HAT-P-37 b           	  1.169000	 0.1030	Mjup	 1.1780	 0.0770	Rjup	2012AJ....144...19B	HAT-P-37 b              	284.29607	+51.26913
HAT-P-40 b           	  0.615000	 0.0380	Mjup	 1.7300	 0.0620	Rjup	2012AJ....144..139H	HAT-P-40 b              	335.51291	+45.45736
HAT-P-42 b           	  1.044000	 0.0830	Mjup	 1.2800	 0.1530	Rjup	2013A&A...558A..86B	HAT-P-42 b              	135.34437	+06.09722
HAT-P-50 b           	  1.350000	 0.0730	Mjup	 1.2880	 0.0640	Rjup	2015AJ....150..168H	HAT-P-50 b              	118.06341	+12.13941
HAT-P-51 b           	  0.309000	 0.0180	Mjup	 1.2930	 0.0540	Rjup	2015AJ....150..168H	HAT-P-51 b              	021.06519	+32.81076
HAT-P-52 b           	  0.818000	 0.0290	Mjup	 1.0090	 0.0720	Rjup	2015AJ....150..168H	HAT-P-52 b              	042.72168	+29.02240
HAT-P-53 b           	  1.484000	 0.0560	Mjup	 1.3180	 0.0910	Rjup	2015AJ....150..168H	HAT-P-53 b              	021.87110	+38.96815
HAT-P-54 b           	  0.760000	 0.0320	Mjup	 0.9440	 0.0280	Rjup	2015AJ....149..149B	HAT-P-54 b              	099.89800	+25.48254
HAT-P-55 b           	  0.582000	 0.0560	Mjup	 1.1820	 0.0550	Rjup	2015PASP..127..851J	HAT-P-55 b              	264.27345	+25.73119
HAT-P-56 b           	  2.180000	 0.2500	Mjup	 1.4660	 0.0400	Rjup	2015AJ....150...85H	HAT-P-56 b              	100.84804	+27.25228
HATS-02 b            	  1.345000	 0.1500	Mjup	 1.1680	 0.0300	Rjup	2013A&A...558A..55M	HATS-02 b               	176.73904	-22.56301
HATS-03 b            	  1.071000	 0.1360	Mjup	 1.3810	 0.0350	Rjup	2013AJ....146..113B	HATS-03 b               	312.45742	-24.42876
HATS-04 b            	  1.323000	 0.0280	Mjup	 1.0200	 0.0370	Rjup	2014AJ....148...29J	HATS-04 b               	094.11207	-22.54689
HATS-05 b            	  0.237000	 0.0120	Mjup	 0.9120	 0.0250	Rjup	2014AJ....147..144Z	HATS-05 b               	067.22287	-21.48192
HATS-06 b            	  0.319000	 0.0700	Mjup	 0.9980	 0.0190	Rjup	2015AJ....149..166H	HATS-06 b               	088.14680	-19.03166
HATS-09 b            	  0.837000	 0.0290	Mjup	 1.0650	 0.0980	Rjup	2015AJ....150...33B	HATS-09 b               	290.81010	-20.16632
HATS-13 b            	  0.543000	 0.0720	Mjup	 1.2120	 0.0350	Rjup	2015A&A...580A..63M	HATS-13 b               	316.96147	-26.09666
HATS-15 b            	  2.170000	 0.1500	Mjup	 1.1050	 0.0400	Rjup	2016PASP..128g4401C	2MASS J20442207-1926150 	311.09196	-19.43751
HATS-16 b            	  3.270000	 0.1900	Mjup	 1.3000	 0.1500	Rjup	2016PASP..128g4401C	GSC 7516-00867          	358.55875	-30.01304
HATS-17 b            	  1.338000	 0.0650	Mjup	 0.7770	 0.0560	Rjup	2016AJ....151...89B	HATS-17 b               	192.18980	-47.61369
HD-017156 b          	  3.262000	 0.1130	Mjup	 1.0650	 0.0350	Rjup	2011MNRAS.417.2166S	HD 017156 b             	042.43537	+71.75323
HD-080606 b          	  4.114000	 0.1550	Mjup	 1.0030	 0.0270	Rjup	2011MNRAS.417.2166S	HD 080606 b             	140.65653	+50.60374
HD-097658 b          	  0.023800	 0.0026	Mjup	 0.2005	 0.0087	Rjup	2014ApJ...786....2V	HD 097658 b             	168.63817	+25.71039
HD-149026 b          	  0.368000	 0.0140	Mjup	 0.8130	 0.0270	Rjup	2009ApJ...696..241C	HD 149026 b             	247.62342	+38.34731
HD-189733 b          	  1.150000	 0.0390	Mjup	 1.1510	 0.0380	Rjup	2010MNRAS.408.1689S	HD 189733 b             	300.18214	+22.71085
HD-209458 b          	  0.714000	 0.0170	Mjup	 1.3800	 0.0170	Rjup	2010MNRAS.408.1689S	HD 209458 b             	330.79488	+18.88432
HD-219134 b          	  0.013600	 0.0015	Mjup	 0.1433	 0.0077	Rjup	2015A&A...584A..72M	HD 219134 b             	348.32073	+57.16836
K2-02 b              	  0.037000	 0.0040	Mjup	 0.2260	 0.0160	Rjup	2015ApJ...800...59V	NAME HIP 116454 b       	353.95534	+00.44552
